,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
89,Santa Fe,0,AR,1550693021,39,-31.62,-60.7,97.1,6.85
90,Te Anau,80,NZ,1550692954,92,-45.41,167.72,59.84,8.41
91,Kenai,90,US,1550692560,92,60.55,-151.26,19.4,9.17
92,Castro,90,CL,1550689200,93,-42.48,-73.76,53.6,4.7
93,Zeulenroda,44,DE,1550690400,75,50.65,11.98,42.8,5.82
94,Seguela,92,CI,1550693109,52,7.96,-6.67,84.68,7.29
95,Nome,1,US,1550691300,55,30.04,-94.42,62.6,8.05
96,Portland,75,US,1550692380,65,45.52,-122.67,46.4,9.17
97,Taltal,0,CL,1550693110,51,-25.41,-70.49,73.34,4.5
98,Santa Cruz de la Palma,75,ES,1550691000,55,28.68,-17.76,64.4,3.36
99,Starnberg,75,DE,1550690400,90,48.0,11.35,41.0,3.36
100,Qarqin,36,AF,1550693111,73,37.41,66.03,30.5,8.19
101,Arraial do Cabo,40,BR,1550692800,78,-22.97,-42.02,82.4,9.17
102,Beroroha,88,MG,1550693112,99,-21.68,45.17,73.57,4.16
103,Klungkung,20,ID,1550691000,88,-8.53,115.4,78.8,3.36
104,Codrington,90,AU,1550692800,88,-28.95,153.24,73.4,4.7
105,San Marcos,20,GT,1550691780,49,14.97,-91.79,89.6,10.29
106,Sambava,36,MG,1550692702,100,-14.27,50.17,81.08,1.7
107,Hambantota,36,LK,1550692714,100,6.12,81.12,79.64,13.44
108,Anuradhapura,12,LK,1550693114,94,8.34,80.41,72.49,5.17
109,Aykhal,48,RU,1550692771,62,65.95,111.51,-14.68,2.71
110,Fairbanks,75,US,1550692380,77,64.84,-147.72,3.2,8.05
111,Georgetown,75,GY,1550689200,78,6.8,-58.16,82.4,4.7
112,Kastamonu,0,TR,1550692850,75,41.38,33.78,22.09,3.04
113,Hermanus,44,ZA,1550693115,96,-34.42,19.24,61.73,3.38
114,New Norfolk,75,AU,1550689200,50,-42.78,147.06,55.4,11.41
115,Beloha,92,MG,1550693116,97,-25.17,45.06,74.69,7.85
116,Ardatov,92,RU,1550693116,94,55.24,43.1,30.37,11.65
117,Coquimbo,0,CL,1550689200,60,-29.95,-71.34,73.4,13.87
118,Talnakh,48,RU,1550692701,69,69.49,88.39,-5.59,3.71
119,Provideniya,48,RU,1550693117,100,64.42,-173.23,19.52,38.83
120,Pathein,0,MM,1550692835,92,16.78,94.73,70.01,6.85
121,Angola,90,US,1550692500,98,41.63,-85.0,33.8,10.29
122,Aginskoye,8,RU,1550693125,55,51.11,114.54,10.7,6.51
123,San Angelo,1,US,1550688660,24,31.46,-100.44,55.4,8.05
124,Cidreira,0,BR,1550693125,72,-30.17,-50.22,80.14,8.97
125,Chokurdakh,48,RU,1550693126,40,70.62,147.9,-26.02,4.16
126,Richards Bay,8,ZA,1550693126,82,-28.77,32.06,76.67,10.76
127,Moussoro,0,TD,1550693127,20,13.64,16.49,72.26,13.22
128,Sitka,0,US,1550693127,75,37.17,-99.65,40.27,5.95
129,Leningradskiy,20,RU,1550693128,67,69.38,178.42,-9.01,10.42
130,Mayumba,92,GA,1550693128,100,-3.44,10.65,74.96,7.96
131,Kunashak,12,RU,1550691000,91,55.7,61.55,-4.01,2.24
132,Gwadar,0,PK,1550693129,100,25.12,62.33,61.15,8.63
133,Requena,0,ES,1550691000,76,39.49,-1.1,53.6,3.36
134,Newport,20,GB,1550690400,87,51.59,-3.0,50.0,14.99
135,Saint-Augustin,0,FR,1550691000,76,44.83,-0.61,51.8,1.12
136,Cotonou,20,BJ,1550689200,84,6.37,2.43,86.0,11.41
137,Gloversville,90,US,1550690220,62,43.05,-74.34,26.6,8.05
138,Victoria,75,BN,1550691000,88,5.28,115.24,80.6,5.82
139,Zapolyarnyy,75,RU,1550692200,85,69.43,30.82,12.2,11.41
140,Jamestown,0,AU,1550693132,86,-33.21,138.6,46.07,3.38
141,Mount Gambier,90,AU,1550689200,93,-37.83,140.78,50.0,4.7
142,Port Elizabeth,90,US,1550692440,100,39.31,-74.98,33.8,12.75
143,Darnah,92,LY,1550693133,100,32.77,22.64,58.54,11.77
144,Okhtyrka,80,UA,1550693097,94,50.31,34.89,36.53,11.77
145,Saskylakh,24,RU,1550693133,58,71.97,114.09,-33.09,4.38
146,Iqaluit,20,CA,1550689200,68,63.75,-68.52,-14.81,12.75
147,Lesozavodsk,0,RU,1550693134,70,45.47,133.42,15.34,7.63
148,Aksarka,56,RU,1550693134,70,66.56,67.8,-10.0,9.64
149,Ocos,20,GT,1550691780,49,14.51,-92.19,89.6,10.29
150,Yamada,75,JP,1550689200,65,36.58,137.08,44.6,13.87
151,Pangnirtung,5,CA,1550689200,74,66.15,-65.72,-22.01,3.36
152,Port Hardy,75,CA,1550689200,86,50.7,-127.42,39.2,13.87
153,Banda Aceh,0,ID,1550693135,100,5.56,95.32,73.34,3.15
154,Cap Malheureux,40,MU,1550689200,83,-19.98,57.61,80.6,11.41
155,Cubuk,0,TR,1550690400,64,40.24,33.03,37.4,5.82
156,Airai,0,TL,1550693137,88,-8.93,125.41,65.96,1.25
157,Auki,88,NG,1550693137,25,12.18,6.51,75.37,8.41
158,Roebourne,0,AU,1550692772,96,-20.77,117.15,74.15,2.93
159,Margate,75,AU,1550689200,50,-43.03,147.26,55.4,11.41
160,Norman Wells,75,CA,1550689200,72,65.28,-126.83,10.4,10.29
161,Jacareacanga,75,BR,1550689200,83,-6.22,-57.76,84.2,1.12
162,Zhezkazgan,88,KZ,1550693138,87,47.8,67.71,17.09,12.66
163,Allende,5,MX,1550688000,33,28.34,-100.85,62.6,6.06
164,Saint-Georges,32,CA,1550693139,54,46.12,-70.67,18.94,5.73
165,Hofn,0,IS,1550689200,80,64.25,-15.21,35.6,12.75
166,Vila Velha,75,BR,1550692800,74,-3.71,-38.6,84.2,6.93
167,Saint-Philippe,1,CA,1550691300,53,45.36,-73.48,24.8,3.36
168,Lanzhou,40,CN,1550689200,73,36.06,103.82,23.0,4.47
169,Anadyr,0,RU,1550689200,78,64.73,177.51,17.6,17.9
170,Otofuke,76,JP,1550693141,90,43.02,143.2,19.84,2.37
171,Lavrentiya,32,RU,1550693142,89,65.58,-170.99,15.83,32.79
172,Saravan,0,AM,1550692800,63,39.72,45.65,33.8,9.17
173,Sindou,68,BF,1550693142,44,10.66,-5.16,82.16,5.17
174,Pisco,75,PE,1550692800,30,-13.71,-76.2,71.6,20.8
175,Pacific Grove,90,US,1550691300,76,36.62,-121.92,53.6,10.29
176,Panzhihua,0,CN,1550693143,30,26.59,101.72,51.25,4.94
177,Kangaatsiaq,68,GL,1550693143,100,68.31,-53.46,12.14,14.34
178,Atambua,12,ID,1550693029,100,-9.11,124.89,76.4,3.15
179,Panorama,36,BR,1550693144,83,-21.35,-51.86,81.4,4.72
180,Alyangula,12,AU,1550689200,88,-13.85,136.42,78.8,3.36
181,Maceio,40,BR,1550689200,62,-9.67,-35.74,84.2,12.75
182,Mar del Plata,8,AR,1550693104,37,-46.43,-67.52,63.71,24.52
183,Upernavik,32,GL,1550693144,98,72.79,-56.15,5.48,6.73
184,Salalah,0,OM,1550688600,21,17.01,54.1,80.6,16.11
185,Namibe,0,AO,1550692770,100,-15.19,12.15,74.29,9.42
186,Kyshtovka,92,RU,1550693145,89,56.56,76.62,19.61,6.17
187,Cayenne,100,GF,1550691000,74,4.94,-52.33,82.4,9.17
188,Catalina Foothills,1,US,1550691300,19,32.3,-110.92,50.0,4.7
189,Westport,75,IE,1550689200,87,53.8,-9.52,51.8,12.75
190,Brae,92,GB,1550692200,100,60.4,-1.35,48.2,14.99
191,Perth,40,GB,1550692200,93,56.4,-3.43,51.8,16.11
192,Yangzhou,76,CN,1550693147,100,32.39,119.44,37.16,8.41
193,Camacha,20,PT,1550691000,67,33.08,-16.33,60.8,10.29
194,Clyde River,5,CA,1550689200,68,70.47,-68.59,-20.21,2.24
195,Hlukhiv,88,UA,1550693148,95,51.68,33.91,35.54,16.46
196,Rockport,1,US,1550692260,37,28.02,-97.05,69.8,10.29
197,Mana,0,RS,1550691000,61,43.52,20.24,46.4,1.12
198,Kitami,88,JP,1550693149,88,43.8,143.9,18.49,2.82
199,Bonavista,56,CA,1550693149,100,48.65,-53.11,5.57,36.37
200,Mogadishu,56,SO,1550693154,98,2.04,45.34,80.81,18.03
201,Davao,20,PH,1550689200,83,6.81,125.71,75.2,4.7
202,Changji,92,CN,1550693175,100,32.07,116.17,38.6,6.06
203,Padang,24,ID,1550693176,100,-0.92,100.36,84.05,1.81
204,Lebu,20,ET,1550693176,73,8.96,38.73,51.29,4.38
205,Srednekolymsk,64,RU,1550693177,69,67.46,153.71,-23.32,3.04
206,Kahului,20,US,1550692560,83,20.89,-156.47,77.0,5.82
207,Amahai,12,ID,1550693177,100,-3.31,129.0,82.16,5.95
208,Moindou,32,NC,1550691000,66,-21.69,165.68,84.2,5.82
209,Vao,64,EE,1550693178,72,59.1,26.19,23.48,17.25
210,Yar-Sale,64,RU,1550693178,66,66.83,70.83,-8.65,10.31
211,Ilovlya,0,RU,1550691000,63,49.31,43.98,28.4,13.42
212,Jinchang,32,CN,1550692794,61,38.52,102.19,7.46,2.71
213,Camabatela,64,AO,1550693179,95,-8.19,15.37,66.59,2.71
214,Port Alfred,80,ZA,1550693179,92,-33.59,26.89,69.25,10.98
215,Zhigansk,0,RU,1550692715,34,66.77,123.37,-23.05,4.05
216,Porto Novo,75,BR,1550689200,94,-23.68,-45.44,71.6,4.7
217,Denpasar,40,ID,1550689200,88,-8.65,115.22,78.8,8.05
218,Prince Rupert,1,CA,1550689200,86,54.32,-130.32,37.4,2.37
219,Porto Belo,20,BR,1550692800,69,-27.15,-48.54,80.6,4.7
220,Manta,44,RO,1550692843,64,45.1,24.1,30.05,4.94
221,Kapaa,40,US,1550692560,73,22.08,-159.32,73.4,4.7
222,Port Lincoln,88,AU,1550693181,100,-34.72,135.86,61.6,5.5
223,Luanda,40,AO,1550689200,74,-8.83,13.24,82.4,10.29
224,Poum,0,MK,1550693184,79,41.28,20.71,20.96,1.59
225,Mnogovershinnyy,32,RU,1550693185,62,53.94,139.92,-3.34,2.15
226,Meulaboh,0,ID,1550693185,100,4.14,96.13,79.1,4.27
227,Mandalgovi,20,MN,1550693185,67,45.76,106.27,-3.84,3.49
228,Puerto Escondido,20,MX,1550688060,65,15.86,-97.07,82.4,11.41
229,Haines Junction,56,CA,1550693186,80,60.75,-137.51,9.62,2.26
230,Dodge City,1,US,1550692320,32,37.75,-100.02,37.4,4.7
231,Husavik,80,CA,1550692727,99,50.56,-96.99,12.95,4.61
232,Birin,92,SY,1550693187,96,35.01,36.67,46.34,2.71
233,Araouane,20,ML,1550693187,22,18.9,-3.53,61.6,7.63
234,Saldanha,8,PT,1550693187,89,41.42,-6.55,39.77,4.27
235,Tiksi,0,RU,1550693188,66,71.64,128.87,-14.68,8.41
236,Umm Lajj,0,SA,1550693188,100,25.02,37.27,59.3,12.21
237,Kruisfontein,8,ZA,1550693188,89,-34.0,24.73,65.33,10.09
238,Kysyl-Syr,0,RU,1550693188,61,63.9,122.77,-21.07,2.59
239,Whyalla,0,AU,1550689200,77,-33.04,137.58,64.4,10.29
240,Gornopravdinsk,56,RU,1550693189,84,60.06,69.92,3.1,3.15
241,Mundo Nuevo,20,CL,1550692800,77,-32.72,-71.41,68.0,13.87
242,Kamenka,88,RU,1550693190,94,53.19,44.05,26.54,14.23
243,Petropavlovsk-Kamchatskiy,0,RU,1550691000,70,53.05,158.65,-5.81,8.95
244,San Cristobal,75,EC,1550689200,64,-0.39,-78.55,68.0,8.05
245,Palafrugell,0,ES,1550691000,81,41.92,3.16,46.4,4.7
246,George Town,75,MY,1550691000,88,5.42,100.33,78.8,3.36
247,Alto Piquiri,24,BR,1550693192,52,-24.02,-53.44,89.05,5.39
248,Miquelon,75,PM,1550689200,78,47.1,-56.38,8.6,29.97
249,Burgeo,20,CA,1550693193,100,47.61,-57.61,11.47,41.07
250,Nakhon Thai,0,TH,1550692831,89,17.1,100.84,62.5,1.36
251,Ancud,90,CL,1550689200,93,-41.87,-73.83,53.6,4.7
252,Yarega,76,RU,1550693195,81,63.43,53.58,18.62,8.63
253,Lahaina,20,US,1550692560,78,20.87,-156.68,77.0,4.7
254,Ahipara,92,NZ,1550693195,87,-35.17,173.16,71.36,10.65
255,Sur,0,OM,1550692880,100,22.57,59.53,69.29,17.36
256,Hami,0,CN,1550693199,48,42.84,93.51,16.69,7.18
257,Shahrud,0,IR,1550693199,70,36.42,54.97,9.67,1.36
258,Yinchuan,8,CN,1550693200,61,38.48,106.21,11.51,2.93
259,Kardailovo,76,RU,1550693203,88,51.54,53.9,17.54,11.43
260,Fort-Shevchenko,0,KZ,1550693204,100,44.51,50.26,33.83,17.81
261,Bathsheba,20,BB,1550689200,69,13.22,-59.52,82.4,21.92
262,Ban Nahin,32,LA,1550693204,87,18.24,104.21,68.48,2.37
263,Dunedin,100,NZ,1550693205,88,-45.87,170.5,57.19,3.6
264,Inuvik,90,CA,1550691900,77,68.36,-133.71,5.0,4.7
265,Metsavan,0,GE,1550691000,72,41.2,44.23,17.6,1.12
266,Stavern,75,NO,1550692200,100,59.0,10.03,35.6,3.36
267,Hay River,75,CA,1550689200,65,60.82,-115.79,3.2,5.82
268,Labuhan,8,ID,1550692760,93,-2.54,115.51,73.97,2.59
269,Flinders,90,AU,1550690100,100,-34.58,150.85,62.6,10.29
270,Abbeville,88,FR,1550691000,87,50.11,1.83,46.4,2.24
271,Longyearbyen,75,NO,1550692200,78,78.22,15.63,8.6,3.36
272,Spencer,90,US,1550692320,79,43.14,-95.14,26.6,20.8
273,Coihaique,75,CL,1550689200,46,-45.58,-72.07,55.4,14.99
274,Kodinsk,92,RU,1550693211,91,58.6,99.18,26.59,3.38
275,Dondo,20,MZ,1550689200,83,-19.62,34.74,78.8,7.74
276,Atocha,75,EC,1550689200,77,-1.22,-78.6,69.8,3.36
277,Dalhousie,92,IN,1550693212,90,32.54,75.98,39.86,2.26
278,Bintulu,75,MY,1550689200,94,3.17,113.03,78.8,3.36
279,Altamont,88,CA,1550691300,100,49.4,-98.5,10.4,6.93
280,Bethel,90,US,1550692560,86,60.79,-161.76,33.8,25.28
281,Bela,80,PK,1550693217,100,26.23,66.31,58.67,2.04
282,Davidson,90,US,1550692500,100,35.5,-80.85,37.4,8.75
283,Leh,48,IN,1550693220,79,34.16,77.58,8.0,1.7
284,Vestmannaeyjar,92,IS,1550693221,95,63.44,-20.27,41.89,16.91
285,Komsomolskiy,56,RU,1550693223,66,67.55,63.78,-1.09,7.18
286,Santa Quiteria,0,ES,1550693229,87,37.67,-1.69,33.07,2.71
287,Sarany,92,RU,1550693232,82,58.55,58.76,6.83,9.42
288,Hobo,75,CO,1550689200,46,2.58,-75.45,91.4,6.93
289,Galle,1,US,1550691300,45,29.74,-97.91,62.6,8.05
290,Broken Hill,0,AU,1550689200,67,-31.97,141.45,60.8,14.99
291,Kununurra,12,AU,1550692800,88,-15.77,128.74,78.8,2.24
292,Uspenka,20,UA,1550693238,88,48.39,39.16,30.86,13.0
293,Yeppoon,0,AU,1550691000,83,-23.13,150.74,78.8,4.7
294,Cienfuegos,40,CU,1550688600,58,22.15,-80.44,87.8,12.75
295,Maragogi,80,BR,1550693242,83,-9.01,-35.22,80.45,7.29
296,Lorengau,64,PG,1550693246,94,-2.02,147.27,83.65,21.72
297,Bilibino,8,RU,1550692758,68,68.06,166.44,-36.51,2.15
298,Nalut,68,LY,1550693246,61,31.86,10.98,51.65,6.17
299,Nenjiang,8,CN,1550693250,70,49.17,125.23,6.7,3.38
300,Tiarei,75,PF,1550691000,74,-17.53,-149.33,84.2,20.8
301,Zorritos,75,PE,1550689200,33,-3.68,-80.68,89.6,8.05
302,Lumberton,1,US,1550691300,55,30.27,-94.2,62.6,8.05
303,Rocha,24,UY,1550693251,82,-34.48,-54.34,80.77,1.36
304,Thompson,90,CA,1550689200,71,55.74,-97.86,3.2,8.05
305,Bandarbeyla,80,SO,1550693252,100,9.49,50.81,77.17,17.81
306,San Quintin,0,PH,1550693252,73,17.54,120.52,59.84,5.39
307,Sola,75,FI,1550690400,85,62.78,29.36,19.4,17.22
308,Thinadhoo,64,MV,1550693263,100,0.53,72.93,83.06,9.53
309,Mahibadhoo,88,MV,1550693264,98,3.78,72.97,83.42,12.44
310,Katsuura,75,JP,1550689200,86,33.93,134.5,46.4,9.17
311,Kaduy,75,RU,1550691000,100,59.2,37.15,33.8,6.71
312,Hasaki,20,JP,1550691000,100,35.73,140.83,41.0,5.82
313,Pevek,56,RU,1550693265,76,69.7,170.27,-17.34,4.16
314,Salinas,90,US,1550691300,76,36.67,-121.66,53.6,10.29
315,Parana,40,BR,1550692800,59,-7.52,-72.89,91.4,6.93
316,Quatre Cocos,40,MU,1550689200,83,-20.21,57.76,80.6,11.41
317,San Borja,68,BO,1550693266,85,-14.86,-66.75,79.46,2.48
318,Libertador General San Martin,12,AR,1550693267,68,-23.81,-64.79,85.04,4.27
319,Praia da Vitoria,20,PT,1550689200,82,38.73,-27.07,55.4,21.05
320,Bahia Blanca,0,AR,1550693267,36,-38.72,-62.27,88.1,14.56
321,Zyryanka,64,RU,1550693267,49,65.73,150.89,-29.8,2.71
322,Kogon,0,UZ,1550691000,74,39.73,64.54,28.4,2.24
323,Kautokeino,64,NO,1550693268,74,69.01,23.04,7.1,5.17
324,Savalou,64,BJ,1550693269,78,7.93,1.98,75.23,4.05
325,Valparaiso,90,US,1550691300,100,41.47,-87.06,35.6,8.05
326,Lishui,100,CN,1550693269,100,28.45,119.91,48.82,2.04
327,La Rioja,24,AR,1550693270,38,-29.41,-66.86,95.75,4.38
328,Takoradi,64,GH,1550692750,100,4.89,-1.75,79.87,7.18
329,Satipo,64,PE,1550693270,100,-11.26,-74.64,69.74,1.48
330,Abu Samrah,64,SY,1550693270,90,35.3,37.18,45.35,5.84
331,Carlos Chagas,20,BR,1550693271,51,-17.7,-40.76,90.62,2.26
332,Marion,90,US,1550692200,87,35.21,-90.2,48.2,9.17
333,Alamos,0,AR,1550693272,26,-36.9,-62.36,92.29,7.4
334,Cabedelo,40,BR,1550689200,66,-6.97,-34.84,86.0,12.75
335,Vanimo,76,PG,1550693294,100,-2.67,141.3,81.67,22.62
336,Xichang,0,CN,1550693294,42,27.88,102.25,34.28,1.7
337,Praxedis Guerrero,75,MX,1550692260,16,31.37,-106.02,50.0,14.99
338,Yafran,36,LY,1550693298,37,32.06,12.53,52.1,11.88
339,Sorrento,40,AU,1550691000,82,-31.82,115.75,69.8,6.93
340,Vestmanna,88,FO,1550692200,93,62.16,-7.17,44.6,29.97
341,Antofagasta,0,CL,1550689200,68,-23.65,-70.4,71.6,16.11
342,Tazovskiy,44,RU,1550693303,31,67.47,78.7,-21.25,3.15
343,Fort Saint James,56,CA,1550693303,63,54.43,-124.25,22.0,5.28
344,Waingapu,24,ID,1550693303,99,-9.65,120.26,72.22,0.92
345,Deputatskiy,0,RU,1550693304,0,69.3,139.9,-40.29,5.17
346,Ardalstangen,90,NO,1550692200,100,61.24,7.7,28.4,12.75
347,Qaqortoq,20,GL,1550688600,49,60.72,-46.03,24.8,3.36
348,Tasiilaq,92,GL,1550688600,92,65.61,-37.64,28.4,5.82
349,Bluefield,90,US,1550691660,86,37.27,-81.22,46.4,8.05
350,Souillac,0,FR,1550691000,76,45.6,-0.6,51.8,3.36
351,Aklavik,90,CA,1550691900,77,68.22,-135.01,5.0,4.7
352,Pimentel,88,BR,1550693306,85,-3.7,-45.5,81.22,2.93
353,Caracuaro,0,MX,1550693306,26,19.01,-101.13,78.38,4.83
354,Yarmouth,40,GB,1550690400,93,50.71,-1.5,48.2,11.41
355,Borogontsy,0,RU,1550693306,42,62.67,131.17,-27.28,2.71
356,Kralendijk,8,BQ,1550688900,62,12.15,-68.27,84.2,19.46
357,Atar,0,MR,1550693307,23,20.52,-13.05,60.34,2.71
358,Ughelli,8,NG,1550693307,74,5.49,6.0,79.87,11.43
359,Gisborne,8,NZ,1550693311,77,-38.66,178.02,72.94,5.17
360,Walvis Bay,8,NA,1550689200,72,-22.95,14.51,68.0,4.7
361,Iracoubo,80,GF,1550693311,74,5.48,-53.21,78.79,7.4
362,Itarema,32,BR,1550693312,92,-2.92,-39.92,79.6,6.29
363,Revelstoke,1,CA,1550689200,62,50.99,-118.19,23.0,4.7
364,Novikovo,0,UA,1550693319,100,45.05,34.56,30.32,4.72
365,Naze,8,NG,1550689200,74,5.43,7.07,87.8,8.05
366,Touros,40,BR,1550692800,70,-5.2,-35.46,86.0,13.87
367,Aktau,0,KZ,1550691000,92,43.65,51.16,26.6,13.42
368,Ambilobe,32,MG,1550692776,96,-13.19,49.05,73.16,2.93
369,Fort Nelson,75,CA,1550689200,85,58.81,-122.69,12.2,2.24
370,Luangwa,8,MZ,1550693331,88,-15.62,30.4,70.91,2.93
371,Vitry-le-Francois,0,FR,1550691000,86,48.73,4.58,46.4,3.36
372,Sorong,8,ID,1550693332,100,-0.86,131.25,81.71,6.29
